task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,std_degradation,ci95_low,ci95_high,positive_rate,expected_direction,p_expected_direction,q_expected_direction,supports_expected
classification,pr_auc,torch_mlp,random_label_noise,0.5,81,0.15213136527554197,0.16272015945294788,0.07336099196418572,0.13615497147000818,0.16810775908107575,0.9506172839506173,degrade,4.8637624534407134e-15,3.985912644770926e-14,True
classification,pr_auc,torch_mlp,random_label_noise,1.0,81,0.2916553240320262,0.31377050582752036,0.14131063471227548,0.26088100802801956,0.32242964003603286,0.9506172839506173,degrade,4.193182068004856e-15,3.6125876278195683e-14,True
classification,roc_auc,lgbm,cliffs,0.01,81,5.784892445327414e-05,0.0,0.005025475404229543,-0.001036587941356715,0.0011522857902632635,0.3333333333333333,degrade,0.13330663974164458,0.13824392269503882,False
classification,roc_auc,lgbm,cliffs,0.02,81,0.0007639507166892198,0.0,0.005781373797798467,-0.000495104021498002,0.0020230054548764417,0.4691358024691358,degrade,0.007938268952296802,0.009165836316054039,True
classification,roc_auc,lgbm,cliffs,0.05,81,0.0008510177055800675,0.0,0.007110777681724143,-0.0006975516562176346,0.0023995870673777695,0.4567901234567901,degrade,0.1693255476097159,0.17240419392989256,False
classification,roc_auc,lgbm,cliffs,0.1,81,0.0012381162520244881,0.0008814450165662846,0.013361741630065609,-0.0016717741474120223,0.004148006651460999,0.5802469135802469,degrade,0.007208572048149464,0.008352000717855931,True
classification,roc_auc,lgbm,cliffs,0.2,81,0.0035016830610981454,0.000994631860536388,0.01245810801553616,0.0007885839821591594,0.0062147821400371315,0.5925925925925926,degrade,0.00892685088464648,0.010236934802871049,True
classification,roc_auc,lgbm,cliffs,0.5,81,0.009439502749919075,0.0018050132971199062,0.022441893762892223,0.004552156997111436,0.014326848502726714,0.7530864197530864,degrade,2.3005464693122826e-05,3.24783030961734e-05,True
classification,roc_auc,lgbm,cliffs,1.0,81,0.022670313713408368,0.007119517406057541,0.032530707617949246,0.015585848498832754,0.029754778927983984,0.8641975308641975,degrade,9.57855602253393e-11,2.1173650155075004e-10,True
classification,roc_auc,lgbm,conflicts,0.01,81,0.0009956351975990265,0.0011463401497335823,0.011295992657727825,-0.0014643809811950331,0.003455651376393086,0.6172839506172839,degrade,0.019481319014020785,0.0217465886668139,True
classification,roc_auc,lgbm,conflicts,0.02,81,0.0034623391818346208,0.003071064430931525,0.009820854857476939,0.0013235752350951985,0.005601103128574043,0.7530864197530864,degrade,3.433359986651431e-05,4.766979155020169e-05,True
classification,roc_auc,lgbm,conflicts,0.05,81,0.005428353178814202,0.005502791791593964,0.020015613708242754,0.001069397304574669,0.009787309053053734,0.7654320987654321,degrade,5.929571296352102e-05,8.001349219173921e-05,True
classification,roc_auc,lgbm,conflicts,0.1,81,0.015510810265468723,0.010898218993120268,0.021651097043793612,0.010795682464820336,0.02022593806611711,0.8888888888888888,degrade,1.4294930511076578e-09,2.744626658126703e-09,True
classification,roc_auc,lgbm,conflicts,0.2,81,0.023345390528619586,0.018981887945891396,0.023182059696232653,0.018296853083662253,0.02839392797357692,0.9012345679012346,degrade,3.86442875796437e-12,1.0387584501408226e-11,True
classification,roc_auc,lgbm,conflicts,0.5,81,0.05480745874712434,0.048934550989345516,0.037623058434767744,0.04661399268799714,0.06300092480625154,0.9506172839506173,degrade,4.317222300158492e-14,2.789589793948564e-13,True
classification,roc_auc,lgbm,conflicts,1.0,81,0.3303194321184751,0.38043183269476377,0.11725531037711114,0.3047838311919042,0.35585503304504595,1.0,degrade,2.656508844358384e-15,3.1699809871514794e-14,True
classification,roc_auc,lgbm,contamination,0.01,81,-0.014529592017984087,-0.0021984364462794836,0.0510288202140729,-0.02564253508682663,-0.0034166489491415444,0.24691358024691357,inflate,2.675166613208851e-06,3.994915475725218e-06,True
classification,roc_auc,lgbm,contamination,0.02,81,-0.01946556822724103,-0.002579583025188237,0.05764480337611172,-0.03201932540692758,-0.006911811047554478,0.16049382716049382,inflate,5.316875425667773e-10,1.0761868331472118e-09,True
classification,roc_auc,lgbm,contamination,0.05,81,-0.029927214385037954,-0.009224091155724312,0.06771381307476394,-0.04467377812131988,-0.015180650648756028,0.012345679012345678,inflate,3.1131076244576513e-15,3.1699809871514794e-14,True
classification,roc_auc,lgbm,contamination,0.1,81,-0.04128822070972158,-0.01666330712893893,0.07485048471625662,-0.05758899293681746,-0.024987448482625695,0.012345679012345678,inflate,2.8894048274683323e-15,3.1699809871514794e-14,True
classification,roc_auc,lgbm,contamination,0.2,81,-0.06170491694280778,-0.03500496524329688,0.08186801840242745,-0.07953395206155865,-0.04387588182405691,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,roc_auc,lgbm,contamination,0.5,81,-0.11212814808132317,-0.08416087388282034,0.09602939486275193,-0.13304121629587803,-0.0912150798667683,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,roc_auc,lgbm,contamination,1.0,81,-0.16496367008290913,-0.11956816730523623,0.11866921094095512,-0.19080718713227268,-0.13912015303354558,0.0,inflate,2.656508844358384e-15,3.1699809871514794e-14,True
classification,roc_auc,lgbm,random_label_noise,0.01,81,0.0017915296504353053,0.0013318483833553163,0.013737862730626786,-0.0012002715664567504,0.004783330867327361,0.6296296296296297,degrade,0.00633582316626104,0.007417549072695851,True
classification,roc_auc,lgbm,random_label_noise,0.02,81,0.0036671640458696446,0.002670973930755216,0.009142825071587677,0.0016760599191683284,0.00565826817257096,0.8271604938271605,degrade,1.6854867881236832e-07,2.8458470392440076e-07,True
classification,roc_auc,lgbm,random_label_noise,0.05,81,0.008124123831214896,0.006415209762065555,0.011159998023853736,0.005693724261575639,0.010554523400854153,0.8641975308641975,degrade,8.131469247854587e-10,1.6166708090409118e-09,True
classification,roc_auc,lgbm,random_label_noise,0.1,81,0.013764474228524313,0.011502752255655446,0.016743281546676248,0.010118159580581485,0.01741078887646714,0.9135802469135802,degrade,6.029688047657098e-11,1.36890215135999e-10,True
classification,roc_auc,lgbm,random_label_noise,0.2,81,0.027092081263255737,0.02258315569936653,0.028270904019217436,0.02093530661018172,0.033248855916329756,0.8888888888888888,degrade,4.553763476456984e-12,1.1860965334027493e-11,True
classification,roc_auc,lgbm,random_label_noise,0.5,81,0.09490749809164784,0.08762941238825483,0.049612606309137726,0.08410297493988006,0.10571202124341561,0.9753086419753086,degrade,4.3517616525892585e-15,3.6554797881749776e-14,True
classification,roc_auc,lgbm,random_label_noise,1.0,81,0.3348003705736513,0.3690331139151374,0.1317535145053446,0.30610738297026513,0.3634933581770375,0.9753086419753086,degrade,2.999332396873403e-15,3.1699809871514794e-14,True
classification,roc_auc,rf,cliffs,0.01,81,0.0008887671126279381,0.0,0.0056400616393938435,-0.0003395129777289434,0.0021170472029848194,0.3333333333333333,degrade,0.12881539274787174,0.13399991319902446,False
classification,roc_auc,rf,cliffs,0.02,81,0.001335863386325339,0.0,0.009976696619141441,-0.0008368394329543527,0.0035085662056050307,0.38271604938271603,degrade,0.3362619468469038,0.3382754914388014,False
classification,roc_auc,rf,cliffs,0.05,81,0.0018432200069173268,7.853451229444808e-05,0.01077611852405517,-0.0005035791383213551,0.004190019152156009,0.5185185185185185,degrade,0.025836336889485226,0.028462325229072247,True
classification,roc_auc,rf,cliffs,0.1,81,0.0013803794062198693,0.0,0.013705023290977107,-0.0016042701104818115,0.00436502892292155,0.48148148148148145,degrade,0.152223904662046,0.15593668282453493,False
classification,roc_auc,rf,cliffs,0.2,81,0.001399331382874904,0.00016484389960158552,0.020466373761709393,-0.003057790014119587,0.005856452779869395,0.5185185185185185,degrade,0.11392833229016841,0.11888173804191486,False
classification,roc_auc,rf,cliffs,0.5,81,0.0059804166381550485,0.0013292744799594525,0.02080113866009466,0.0014503908855122115,0.010510442390797885,0.7407407407407407,degrade,0.0004473665029890843,0.0005693755492588346,True
classification,roc_auc,rf,cliffs,1.0,81,0.01525228360118584,0.004669709600960692,0.03171692894644401,0.00834504129729359,0.02215952590507809,0.8271604938271605,degrade,4.952949962132443e-09,9.19442644904144e-09,True
classification,roc_auc,rf,conflicts,0.01,81,2.3383741580101444e-05,0.0004362735417152708,0.012426204066874117,-0.0026827673663169286,0.002729534849477131,0.5679012345679012,degrade,0.20431602202755778,0.20740236677117646,False
classification,roc_auc,rf,conflicts,0.02,81,0.00381918241542514,0.001857968225244977,0.020086197674892572,-0.0005551450782181311,0.00819350990906841,0.7283950617283951,degrade,0.00021622932573264582,0.0002805137198693784,True
classification,roc_auc,rf,conflicts,0.05,81,0.004341629262833938,0.0036481803982115757,0.018965776360100488,0.00021130463330094364,0.008471953892366933,0.7901234567901234,degrade,4.433992995370654e-05,6.0561855546526004e-05,True
classification,roc_auc,rf,conflicts,0.1,81,0.008800519059456854,0.005991455050863959,0.017300149338231315,0.005032930981353146,0.012568107137560562,0.8148148148148148,degrade,3.6962573275043444e-07,6.028846903113882e-07,True
classification,roc_auc,rf,conflicts,0.2,81,0.016359188572128345,0.014357452028167184,0.020365744977161798,0.011923981888213109,0.020794395256043582,0.9012345679012346,degrade,1.7093538896854395e-10,3.705438109253598e-10,True
classification,roc_auc,rf,conflicts,0.5,81,0.0377199441246457,0.036136868540519784,0.02930120471886503,0.03133879287475954,0.044101095374531864,0.9259259259259259,degrade,7.104791589814197e-14,4.262874953888518e-13,True
classification,roc_auc,rf,conflicts,1.0,81,0.32681516657309506,0.3624525230602279,0.11706209902185166,0.30132164278611406,0.35230869036007606,1.0,degrade,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,roc_auc,rf,contamination,0.01,81,-0.012393515404402046,-0.002627754600919463,0.03762893474264747,-0.020588261192800827,-0.004198769616003264,0.16049382716049382,inflate,8.500730752371863e-10,1.6606078679052012e-09,True
classification,roc_auc,rf,contamination,0.02,81,-0.01868242607958636,-0.0051129442728499175,0.04367783393005273,-0.028194487691020065,-0.009170364468152656,0.08641975308641975,inflate,3.9935693072851294e-12,1.0649518152760345e-11,True
classification,roc_auc,rf,contamination,0.05,81,-0.02737577499286673,-0.011466408268733796,0.05080177934824134,-0.038439273606483734,-0.016312276379249726,0.04938271604938271,inflate,2.910149771520918e-14,1.9955312719000579e-13,True
classification,roc_auc,rf,contamination,0.1,81,-0.03929495770644208,-0.019818843325426272,0.058643549126141024,-0.052066219516135014,-0.02652369589674914,0.012345679012345678,inflate,4.076179440157623e-15,3.6125876278195683e-14,True
classification,roc_auc,rf,contamination,0.2,81,-0.06334846436518912,-0.0416205241786638,0.06568275821908298,-0.07765270948845608,-0.04904421924192216,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,roc_auc,rf,contamination,0.5,81,-0.11881466743300834,-0.08865867824993479,0.08522050271669274,-0.13737379913575476,-0.10025553573026191,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,roc_auc,rf,contamination,1.0,81,-0.16295045839352154,-0.12966337085371638,0.1042974541881406,-0.18566412619449438,-0.1402367905925487,0.0,inflate,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,roc_auc,rf,random_label_noise,0.01,81,0.0005657796036982143,0.0011695906432749315,0.01565915333179455,-0.0028444360107814873,0.003975995218177916,0.6790123456790124,degrade,0.0010680247171362476,0.0013193246505800707,True
classification,roc_auc,rf,random_label_noise,0.02,81,0.0013579203075964725,0.0013586324399428307,0.016754364476823488,-0.002290807956245087,0.005006648571438032,0.6296296296296297,degrade,0.006502756848468737,0.00758654965654686,True
classification,roc_auc,rf,random_label_noise,0.05,81,0.004089673443128513,0.004273758223558133,0.017700525943342725,0.0002348922376894315,0.007944454648567596,0.8395061728395061,degrade,9.02098744778961e-07,1.4097915267243299e-06,True
classification,roc_auc,rf,random_label_noise,0.1,81,0.00811812776114317,0.008652618135376766,0.018839726606072072,0.004015253966931919,0.012221001555354421,0.8518518518518519,degrade,4.198257920746751e-10,8.654077677122137e-10,True
classification,roc_auc,rf,random_label_noise,0.2,81,0.01956396616078858,0.01965564911398765,0.018817281603539408,0.015465980389351108,0.02366195193222605,0.9135802469135802,degrade,3.1712570350129347e-12,8.695656660853362e-12,True
classification,roc_auc,rf,random_label_noise,0.5,81,0.08450535513639168,0.08231752902206746,0.04058960585901387,0.07566584097153978,0.09334486930124358,0.9629629629629629,degrade,3.613793879617921e-15,3.3728742876433924e-14,True
classification,roc_auc,rf,random_label_noise,1.0,81,0.3390804470954116,0.3584523068655976,0.11228790877921027,0.3146266358501613,0.36353425834066183,1.0,degrade,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,roc_auc,torch_mlp,cliffs,0.01,81,-0.0006646552302019531,0.0,0.007624162837776043,-0.0023250284704287357,0.0009957180100248297,0.2962962962962963,degrade,0.39525479014732323,0.3964346551925391,False
classification,roc_auc,torch_mlp,cliffs,0.02,81,0.0010783257071962514,0.0,0.007909750515052952,-0.0006442421827486137,0.0028008935971411165,0.43209876543209874,degrade,0.028579698337337194,0.03127940925519641,True
classification,roc_auc,torch_mlp,cliffs,0.05,81,0.0011363839508254535,0.0004547796129946713,0.011667442014040266,-0.0014045256433433155,0.0036772935449942224,0.5061728395061729,degrade,0.025313191076449266,0.02797773750554919,True
classification,roc_auc,torch_mlp,cliffs,0.1,81,0.0032509523295446313,0.0007382798080475261,0.013196834004718905,0.0003769751462947362,0.006124929512794527,0.5061728395061729,degrade,0.019993662691867465,0.022244604849230028,True
