mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975,dataset,family,task,metric_name,sota_model
random_matched_control,0.1,torch_mlp_advanced,0.018,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.1,torch_mlp_basic,0.002,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.25,ecfp_linear,0.009,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.25,ecfp_rf,0.042,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.25,lgbm_advanced,0.003,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.25,lgbm_basic,0.008,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.25,torch_mlp_advanced,0.015,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.25,torch_mlp_basic,0.002,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.5,ecfp_linear,0.006,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.5,ecfp_rf,0.05,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.5,lgbm_advanced,0.003,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.5,lgbm_basic,0.001,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.5,torch_mlp_advanced,0.018,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
random_matched_control,0.5,torch_mlp_basic,0.002,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
