mode,original_observed_rate,smallest_target_rate_sota_rank_probability_below_0_5,smallest_target_rate_sota_baseline_ci_includes_zero,smallest_target_rate_fraction_delta_positive_below_0_95,interpretation,interpretation_text,dataset,family,task,metric_name,sota_model
leakage_curve,observed,0.75,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Pgp_Broccatelli,tdc,classification,auroc,ecfp_rf
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Pgp_Broccatelli,tdc,classification,auroc,ecfp_rf
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Pgp_Broccatelli,tdc,classification,auroc,ecfp_rf
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced
conflict_curve,observed,0.5,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced
leakage_curve,observed,0.75,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced
random_matched_control,observed,,0.0,,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/Solubility_AqSolDB,tdc,regression,rmse,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/VDss_Lombardo,tdc,regression,rmse,lgbm_basic
